Condition,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,No-Think,No-Think,No-Think,No-Think,No-Think,No-Think,No-Think,No-Think,Think,Think,Think,Think,Think,Think,Think,Think
Block,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8
Subject,,,,,,,,,,,,,,,,,,,,,,,,
50JOC,1.0512000000000001,0.8899285714285714,0.7514615384615384,0.7341428571428571,0.6485333333333333,0.6683076923076923,0.5734,0.5418181818181819,1.1910666666666665,1.079909090909091,1.0582857142857143,0.9785333333333333,0.6867142857142856,0.8358461538461538,0.7303333333333334,0.6823636363636364,1.502,1.2988666666666666,1.2514375,1.285153846153846,1.0068666666666666,0.87675,0.8434444444444444,0.7784166666666666
52PFA,1.16,0.984625,0.7604375,0.630875,0.8293846153846154,0.6956153846153846,0.619375,0.5235,1.20225,1.2518125,1.1144666666666667,0.8175,0.9083125,0.7093571428571429,0.623625,0.7004285714285714,1.1585,1.3795,0.987625,0.816625,0.8793125,0.8034,0.6124666666666667,0.605625
53SMA,1.1653125,0.7035,0.771125,0.664875,0.648625,0.5701875,0.46109090909090905,0.5137272727272727,1.0582666666666667,1.031,0.9034375,0.9199375,0.7111333333333333,0.7478666666666667,0.6745333333333333,0.7136428571428571,1.71925,1.2803125,1.1881875,1.1553125,1.124,1.13875,1.092875,1.083125
54CCA,1.54475,1.283375,0.9455333333333333,1.0675,1.0333333333333332,1.0425,0.8148,1.0515999999999999,2.323714285714286,1.7784285714285712,1.4250625,1.332375,1.20625,1.2238666666666667,1.1499333333333335,1.4916923076923077,1.9074545454545455,1.6884285714285714,1.7714375,1.1004375,1.1758125,1.170375,0.9622666666666666,1.1497857142857142
55MNI,0.8283333333333334,0.7523846153846153,0.7115,0.6451538461538462,0.7076923076923077,0.5595,0.5251111111111111,0.6051666666666666,1.1948125,1.1290625,0.8614375,0.6959230769230769,0.6661818181818181,0.6521666666666667,0.6815,0.6806,1.5221875,1.4035625,0.9053125,0.9074375,0.8535625,0.6272000000000001,0.5787692307692307,0.612
56BCL,1.0531875,0.8523999999999999,0.6290769230769231,0.6021666666666666,0.56075,0.63025,0.5350833333333334,0.4781111111111111,1.5241333333333333,1.3608,1.0534000000000001,0.81875,0.9359375,0.8704666666666667,0.7372857142857143,0.7900769230769231,1.7113333333333332,1.3078125,1.1291875,0.941375,0.9741875,0.8553333333333334,0.7963333333333333,0.843
57NCO,0.865125,0.78425,0.7208125,0.6031333333333333,0.6174666666666667,0.5448571428571429,0.5171875,0.4995,1.3095,1.420875,1.2003125,0.8383125,0.7738666666666667,0.7460625,0.655,0.5948,1.6545,1.624875,1.1624375,0.9675,0.8702666666666666,0.791,0.7838461538461539,0.6848125
58BAN,0.85325,0.7514,0.8345,0.6771428571428572,0.6928,0.581,0.6752,0.5622142857142857,1.125357142857143,1.4292666666666667,1.2630625,0.9184285714285715,0.8238,0.9698571428571429,0.9068666666666667,0.6382857142857143,1.3093333333333332,1.37125,1.04,0.9738888888888889,0.9383333333333334,0.8195333333333333,0.7293333333333334,0.8121538461538462
59DIN,1.296142857142857,1.1193076923076923,1.150125,1.0380666666666667,1.10125,0.8496153846153847,0.7288,0.6970769230769231,1.8415833333333333,1.4214285714285713,1.396,1.1594,0.8733571428571429,1.1313846153846154,0.8466,0.9285714285714286,2.3616666666666664,2.1286363636363634,2.0838,1.449142857142857,1.538090909090909,1.4389285714285713,1.5299090909090909,1.0447
60CAN,1.7703076923076924,1.5547142857142857,1.5007000000000001,1.161,1.442923076923077,0.9946666666666666,0.881125,1.0097777777777779,2.294,1.9913333333333332,1.9135,1.7005,1.4772307692307693,1.1995454545454545,1.2618181818181817,2.161,2.4176666666666664,2.4901999999999997,1.7127999999999999,1.9235,1.768375,1.4683333333333333,1.5295714285714286,1.3295555555555556
