"Emotion"	"Condition"	"freq"	"nSub"
"120"	"Neutral"	"Baseline"	91.6666666666667	"56BCL"
"121"	"Emotion"	"No-Think"	91.6666666666667	"57NCO"
"122"	"Emotion"	"Think"	100	"57NCO"
"123"	"Emotion"	"Baseline"	91.6666666666667	"57NCO"
"124"	"Neutral"	"No-Think"	100	"57NCO"
"125"	"Neutral"	"Think"	100	"57NCO"
"126"	"Neutral"	"Baseline"	100	"57NCO"
"127"	"Emotion"	"No-Think"	100	"58BAN"
"128"	"Emotion"	"Think"	100	"58BAN"
"129"	"Emotion"	"Baseline"	100	"58BAN"
"130"	"Neutral"	"No-Think"	100	"58BAN"
"131"	"Neutral"	"Think"	100	"58BAN"
"132"	"Neutral"	"Baseline"	100	"58BAN"
"133"	"Emotion"	"No-Think"	66.6666666666667	"59DIN"
"134"	"Emotion"	"Think"	83.3333333333333	"59DIN"
"135"	"Emotion"	"Baseline"	91.6666666666667	"59DIN"
"136"	"Neutral"	"No-Think"	91.6666666666667	"59DIN"
"137"	"Neutral"	"Think"	100	"59DIN"
"138"	"Neutral"	"Baseline"	100	"59DIN"
"139"	"Emotion"	"No-Think"	75	"60CAN"
"140"	"Emotion"	"Think"	100	"60CAN"
"141"	"Emotion"	"Baseline"	100	"60CAN"
"142"	"Neutral"	"No-Think"	100	"60CAN"
"143"	"Neutral"	"Think"	100	"60CAN"
"144"	"Neutral"	"Baseline"	100	"60CAN"
