,Subject,Condition,Emotion,Block,Image,IntrusionRating,Timing,Length
107,31NLI,DecodingThink,Emotion,8,People_204_v.jpg,3,240,10
108,31NLI,DecodingThink,Emotion,8,People_204_v.jpg,3,1380,10
109,31NLI,DecodingThink,Emotion,8,People_205_v.jpg,1,240,10
110,31NLI,DecodingThink,Neutral,8,People_164_h.jpg,3,1010,10
111,31NLI,DecodingThink,Neutral,8,People_164_h.jpg,3,2930,10
112,31NLI,DecodingThink,Emotion,8,Objects_010_h.jpg,1,1220,10
113,31NLI,DecodingThink,Emotion,8,Objects_010_h.jpg,1,1850,10
114,31NLI,DecodingThink,Emotion,8,Objects_022_h.jpg,3,1880,10
115,31NLI,DecodingThink,Emotion,8,Objects_022_h.jpg,3,2120,10
116,31NLI,DecodingThink,Neutral,8,Animals_105_h.jpg,1,300,10
117,31NLI,DecodingThink,Emotion,8,People_090_v.jpg,3,2490,10
118,31NLI,DecodingThink,Neutral,8,Animals_088_h.jpg,3,270,10
119,31NLI,DecodingThink,Neutral,8,Animals_088_h.jpg,3,480,10
120,31NLI,DecodingThink,Neutral,8,Animals_088_h.jpg,3,2000,10
121,31NLI,DecodingThink,Neutral,8,Animals_088_h.jpg,3,2720,10
122,31NLI,DecodingThink,Neutral,8,Animals_088_h.jpg,3,2810,10
123,31NLI,DecodingThink,Neutral,8,People_249_h.jpg,1,570,10
124,31NLI,DecodingThink,Neutral,8,People_249_h.jpg,1,1850,10
125,31NLI,DecodingThink,Neutral,8,People_249_h.jpg,1,2680,10
126,31NLI,DecodingThink,Neutral,8,People_249_h.jpg,1,2790,10
127,31NLI,DecodingThink,Emotion,8,People_019_v.jpg,3,1700,10
128,31NLI,DecodingThink,Emotion,8,Faces_156_h.jpg,3,250,10
129,31NLI,DecodingThink,Emotion,8,Faces_156_h.jpg,3,1180,10
130,31NLI,DecodingThink,Emotion,8,Faces_156_h.jpg,3,1540,10
131,31NLI,DecodingThink,Emotion,8,Faces_156_h.jpg,3,1900,10
132,31NLI,DecodingThink,Emotion,8,Faces_156_h.jpg,3,2010,10
133,31NLI,DecodingThink,Emotion,8,Faces_156_h.jpg,3,2120,10
134,31NLI,DecodingThink,Emotion,8,Faces_156_h.jpg,3,2350,10
135,31NLI,DecodingThink,Emotion,8,Faces_156_h.jpg,3,2540,10
136,32CVI,DecodingThink,Emotion,1,Objects_010_h.jpg,3,2170,40
137,32CVI,DecodingThink,Emotion,1,People_019_v.jpg,1,1440,40
138,32CVI,DecodingThink,Neutral,1,People_164_h.jpg,1,1850,40
139,32CVI,DecodingThink,Neutral,1,People_164_h.jpg,1,2710,40
140,32CVI,DecodingThink,Emotion,1,Faces_156_h.jpg,2,350,40
141,32CVI,DecodingThink,Emotion,1,Faces_156_h.jpg,2,2740,40
142,32CVI,DecodingThink,Neutral,1,Objects_029_h.jpg,3,1680,40
143,32CVI,DecodingThink,Neutral,2,People_249_h.jpg,1,2470,40
144,32CVI,DecodingThink,Neutral,2,Objects_029_h.jpg,1,2180,40
145,32CVI,DecodingThink,Neutral,2,Objects_029_h.jpg,1,2270,40
146,32CVI,DecodingThink,Neutral,2,Faces_292_h.jpg,1,360,40
147,32CVI,DecodingThink,Emotion,2,Objects_006_h.jpg,2,1520,40
148,32CVI,DecodingThink,Neutral,2,People_095_h.jpg,1,1840,40
149,32CVI,DecodingThink,Emotion,2,Objects_010_h.jpg,2,810,40
150,32CVI,DecodingThink,Emotion,2,Objects_010_h.jpg,2,910,40
151,32CVI,DecodingThink,Emotion,2,Objects_010_h.jpg,2,2390,40
152,32CVI,DecodingThink,Emotion,2,People_090_v.jpg,1,1490,40
153,32CVI,DecodingThink,Neutral,3,Animals_088_h.jpg,1,2050,40
154,32CVI,DecodingThink,Neutral,3,Faces_292_h.jpg,1,2270,40
155,32CVI,DecodingThink,Neutral,3,People_249_h.jpg,2,420,40
156,32CVI,DecodingThink,Emotion,3,Animals_065_h.jpg,1,1200,40
157,32CVI,DecodingThink,Emotion,3,Faces_156_h.jpg,1,1400,40
