,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
263,265,No-Think,Neutral,1800382,People_164_h.jpg,1,6
265,267,Think,Emotion,1810603,Objects_088_h.jpg,3,6
266,268,No-Think,Neutral,1815788,Faces_292_h.jpg,1,6
267,269,Think,Neutral,1820941,People_091_h.jpg,3,6
268,270,Think,Emotion,1826326,Objects_023_v.jpg,3,6
269,271,Think,Neutral,1831511,Objects_242_h.jpg,3,6
270,272,No-Think,Neutral,1836646,Faces_123_h.jpg,1,6
271,273,No-Think,Emotion,1841815,Objects_022_h.jpg,1,6
273,275,No-Think,Emotion,1851385,Faces_368_h.jpg,1,6
274,276,Think,Neutral,1856687,People_148_h.jpg,3,6
275,277,Think,Neutral,1861422,Animals_132_h.jpg,3,6
276,278,No-Think,Emotion,1866541,People_230_h.jpg,1,6
277,279,Think,Neutral,1871860,Animals_097_h.jpg,3,6
279,281,Think,Emotion,1882814,Animals_078_h.jpg,2,6
280,282,Think,Neutral,1887899,Faces_184_h.jpg,3,6
281,283,No-Think,Emotion,1893285,People_090_v.jpg,1,6
282,284,Think,Neutral,1898188,People_179_h.jpg,3,6
284,286,Think,Emotion,1908191,Animals_039_h.jpg,3,6
285,287,Think,Neutral,1913009,Objects_049_h.jpg,1,6
286,288,No-Think,Neutral,1917861,People_095_h.jpg,1,6
287,289,No-Think,Neutral,1922730,Animals_043_h.jpg,1,6
288,290,Think,Neutral,1928098,People_179_h.jpg,3,7
289,291,No-Think,Neutral,1933400,Animals_043_h.jpg,1,7
290,292,No-Think,Emotion,1938269,Objects_006_h.jpg,1,7
291,294,Think,Emotion,1972232,Objects_011_h.jpg,3,7
292,295,Think,Emotion,1976984,People_077_v.jpg,3,7
293,296,Think,Neutral,1982119,Animals_132_h.jpg,3,7
294,297,No-Think,Neutral,1987038,Faces_123_h.jpg,1,7
295,298,Think,Emotion,1991890,Objects_154_h.jpg,3,7
296,299,Think,Emotion,1996625,Objects_126_h.jpg,3,7
297,300,No-Think,Neutral,2002394,Animals_105_h.jpg,1,7
298,301,Think,Emotion,2007479,People_220_h.jpg,3,7
299,302,Think,Neutral,2012448,People_097_h.jpg,2,7
300,303,No-Think,Neutral,2017284,Faces_292_h.jpg,1,7
301,304,Think,Neutral,2022318,Animals_213_h.jpg,3,7
302,305,Think,Neutral,2027104,Faces_211_h.jpg,3,7
303,306,No-Think,Emotion,2032239,Objects_010_h.jpg,1,7
305,308,No-Think,Emotion,2043643,Animals_065_h.jpg,1,7
306,309,Think,Neutral,2048679,Faces_184_h.jpg,3,7
307,310,No-Think,Emotion,2053281,People_090_v.jpg,2,7
308,311,Think,Neutral,2058116,Objects_049_h.jpg,1,7
309,312,Think,Emotion,2063134,Animals_041_h.jpg,3,7
310,313,Think,Neutral,2068220,Faces_219_v.jpg,3,7
311,314,Think,Emotion,2073888,Animals_039_h.jpg,3,7
312,315,No-Think,Neutral,2079174,Animals_088_h.jpg,1,7
313,316,No-Think,Emotion,2084042,People_230_h.jpg,1,7
314,317,Think,Emotion,2089194,People_217_h.jpg,3,7
315,318,No-Think,Emotion,2094546,People_019_v.jpg,1,7
319,322,No-Think,Neutral,2115171,People_095_h.jpg,1,7
320,323,No-Think,Emotion,2120773,Faces_368_h.jpg,1,7
321,324,No-Think,Neutral,2125692,People_164_h.jpg,1,7
322,325,No-Think,Neutral,2131361,Faces_306_v.jpg,1,7
323,326,No-Think,Emotion,2136396,People_205_v.jpg,1,7
325,328,Think,Neutral,2146450,People_091_h.jpg,3,7
326,329,No-Think,Neutral,2151435,People_035_h.jpg,1,7
327,330,Think,Emotion,2156404,People_209_v.jpg,3,7
328,331,No-Think,Emotion,2162206,Objects_022_h.jpg,1,7
329,332,Think,Emotion,2167375,Animals_078_h.jpg,2,7
330,333,No-Think,Neutral,2172510,People_249_h.jpg,1,7
331,334,Think,Emotion,2177462,Objects_023_v.jpg,3,7
332,335,Think,Neutral,2182314,Animals_097_h.jpg,3,7
