,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
247,249,No-Think,Emotion,1775800,People_077_v.jpg,1,6
248,250,Think,Emotion,1780819,Animals_062_h.jpg,3,6
249,251,No-Think,Neutral,1785804,Animals_213_h.jpg,1,6
250,252,No-Think,Neutral,1790556,Faces_219_v.jpg,1,6
251,253,No-Think,Emotion,1795458,People_209_v.jpg,1,6
252,254,Think,Emotion,1800193,People_247_v.jpg,3,6
253,255,Think,Neutral,1805095,People_026_h.jpg,3,6
254,256,No-Think,Neutral,1810147,Animals_097_h.jpg,1,6
255,257,Think,Neutral,1815065,People_028_h.jpg,3,6
256,258,No-Think,Emotion,1819984,Objects_126_h.jpg,1,6
257,259,No-Think,Emotion,1824819,People_217_h.jpg,1,6
258,260,Think,Neutral,1829738,Faces_060_h.jpg,3,6
259,261,Think,Neutral,1834540,Faces_065_h.jpg,3,6
260,262,No-Think,Emotion,1839458,Objects_154_h.jpg,1,6
261,263,No-Think,Neutral,1844227,People_148_h.jpg,1,6
262,264,Think,Neutral,1849412,Objects_164_h.jpg,3,6
263,265,Think,Emotion,1854531,Objects_013_h.jpg,3,6
264,266,No-Think,Neutral,1859466,Faces_184_h.jpg,1,6
265,267,Think,Emotion,1865235,People_223_h.jpg,3,6
266,268,No-Think,Emotion,1869953,People_220_h.jpg,1,6
267,269,Think,Emotion,1875189,Objects_125_h.jpg,3,6
268,270,Think,Neutral,1880291,People_149_h.jpg,3,6
269,271,No-Think,Emotion,1885276,Objects_011_h.jpg,1,6
270,272,Think,Neutral,1890145,People_151_h.jpg,3,6
271,273,Think,Emotion,1895281,People_213_v.jpg,3,6
272,274,Think,Neutral,1900265,Animals_155_v.jpg,3,6
273,275,Think,Emotion,1905034,Objects_106_v.jpg,3,6
274,276,Think,Neutral,1910136,Faces_061_h.jpg,3,6
275,277,Think,Emotion,1915088,Faces_296_h.jpg,3,6
276,278,No-Think,Emotion,1919873,Animals_041_h.jpg,1,6
277,279,No-Think,Emotion,1924691,Objects_023_v.jpg,1,6
279,281,Think,Emotion,1934529,Objects_007_h.jpg,3,6
280,282,Think,Neutral,1939364,Animals_108_h.jpg,3,6
281,283,No-Think,Neutral,1944499,Objects_242_h.jpg,1,6
282,284,Think,Neutral,1949384,Objects_270_h.jpg,3,6
283,285,Think,Neutral,1954386,People_100_h.jpg,3,6
284,286,No-Think,Emotion,1959238,Animals_039_h.jpg,1,6
285,287,No-Think,Neutral,1964057,People_091_h.jpg,1,6
286,288,No-Think,Neutral,1969025,Faces_211_h.jpg,1,6
