,Subject,Condition,Time,Length,AUC,Percent_intrusion
4737,55MNI,No-Think,27,3,0.5087826797385621,
4738,55MNI,No-Think,27,4,0.5104166666666666,
4739,55MNI,No-Think,27,5,0.5,
4740,55MNI,No-Think,28,1,0.4973447712418301,
4741,55MNI,No-Think,28,2,0.5122549019607844,
4742,55MNI,No-Think,28,3,0.423202614379085,
4743,55MNI,No-Think,28,4,0.47753267973856206,
4744,55MNI,No-Think,28,5,0.5,
4745,55MNI,No-Think,29,1,0.49816176470588236,
4746,55MNI,No-Think,29,2,0.5030637254901961,
4747,55MNI,No-Think,29,3,0.48100490196078427,
4748,55MNI,No-Think,29,4,0.4852941176470588,
4749,55MNI,No-Think,29,5,0.5,
4750,56BCL,Think,5,1,,100.0
4751,56BCL,Think,5,2,,91.57303370786516
4752,56BCL,Think,5,3,,53.37078651685393
4753,56BCL,Think,5,4,,26.96629213483146
4754,56BCL,Think,5,5,,13.48314606741573
4755,56BCL,Think,6,1,,99.43820224719101
4756,56BCL,Think,6,2,,54.49438202247191
4757,56BCL,Think,6,3,,15.168539325842698
4758,56BCL,Think,6,4,,3.3707865168539324
4759,56BCL,Think,6,5,,1.1235955056179776
4760,56BCL,Think,7,1,,100.0
4761,56BCL,Think,7,2,,76.96629213483146
4762,56BCL,Think,7,3,,30.89887640449438
4763,56BCL,Think,7,4,,12.359550561797752
4764,56BCL,Think,7,5,,4.49438202247191
4765,56BCL,Think,8,1,,97.19101123595506
4766,56BCL,Think,8,2,,54.49438202247191
4767,56BCL,Think,8,3,,11.235955056179774
4768,56BCL,Think,8,4,,1.6853932584269662
4769,56BCL,Think,8,5,,0.0
4770,56BCL,Think,9,1,,100.0
4771,56BCL,Think,9,2,,95.50561797752809
4772,56BCL,Think,9,3,,56.17977528089888
4773,56BCL,Think,9,4,,29.775280898876407
4774,56BCL,Think,9,5,,14.606741573033707
4775,56BCL,Think,10,1,,100.0
4776,56BCL,Think,10,2,,93.82022471910112
4777,56BCL,Think,10,3,,57.865168539325836
4778,56BCL,Think,10,4,,26.40449438202247
4779,56BCL,Think,10,5,,11.797752808988763
4780,56BCL,Think,11,1,,100.0
4781,56BCL,Think,11,2,,95.50561797752809
4782,56BCL,Think,11,3,,67.41573033707866
4783,56BCL,Think,11,4,,29.213483146067414
4784,56BCL,Think,11,5,,15.730337078651685
4785,56BCL,Think,12,1,,100.0
4786,56BCL,Think,12,2,,90.4494382022472
4787,56BCL,Think,12,3,,66.29213483146067
4788,56BCL,Think,12,4,,35.39325842696629
4789,56BCL,Think,12,5,,16.853932584269664
4790,56BCL,Think,13,1,,99.43820224719101
4791,56BCL,Think,13,2,,92.13483146067416
4792,56BCL,Think,13,3,,50.0
4793,56BCL,Think,13,4,,16.853932584269664
4794,56BCL,Think,13,5,,6.179775280898876
4795,56BCL,Think,14,1,,100.0
4796,56BCL,Think,14,2,,95.50561797752809
4797,56BCL,Think,14,3,,84.26966292134831
4798,56BCL,Think,14,4,,61.79775280898876
4799,56BCL,Think,14,5,,37.640449438202246
4800,56BCL,Think,15,1,,99.43820224719101
4801,56BCL,Think,15,2,,78.08988764044943
4802,56BCL,Think,15,3,,31.46067415730337
4803,56BCL,Think,15,4,,14.04494382022472
4804,56BCL,Think,15,5,,4.49438202247191
4805,56BCL,Think,16,1,,97.19101123595506
4806,56BCL,Think,16,2,,51.12359550561798
4807,56BCL,Think,16,3,,10.112359550561797
4808,56BCL,Think,16,4,,1.1235955056179776
4809,56BCL,Think,16,5,,0.0
4810,56BCL,Think,17,1,,91.01123595505618
4811,56BCL,Think,17,2,,28.651685393258425
4812,56BCL,Think,17,3,,4.49438202247191
4813,56BCL,Think,17,4,,1.1235955056179776
4814,56BCL,Think,17,5,,0.5617977528089888
4815,56BCL,Think,18,1,,96.62921348314607
4816,56BCL,Think,18,2,,39.8876404494382
4817,56BCL,Think,18,3,,3.932584269662921
4818,56BCL,Think,18,4,,1.1235955056179776
4819,56BCL,Think,18,5,,0.5617977528089888
4820,56BCL,Think,19,1,,100.0
4821,56BCL,Think,19,2,,76.96629213483146
4822,56BCL,Think,19,3,,37.07865168539326
