,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
151,Think,Neutral,Non vivant,NonOrg,940774,2,721,armchair01.png,Objects_043_h.jpg,4
152,No-Think,Emotion,Non vivant,NonOrg,944376,2,1874,scotchtape.png,Landscapes_007_h.jpg,4
153,Baseline,Neutral,Vivant,NonOrg,949278,2,655,backfloat.png,Black.jpg,4
154,Baseline,Neutral,Vivant,Org,952846,1,596,siamesecat.png,Black.jpg,4
155,No-Think,Emotion,Vivant,Org,956280,1,1415,saintbernard.png,People_222_h.jpg,4
156,Think,Neutral,Vivant,NonOrg,960499,1,1210,alarmclock02b.png,People_048_h.jpg,4
157,Think,Emotion,Non vivant,Org,964634,2,1705,cow.png,Landscapes_026_h.jpg,4
158,Think,Neutral,Vivant,NonOrg,969236,1,1241,bib.png,Faces_044_h.jpg,4
159,Think,Neutral,Non vivant,Org,973387,2,1126,blackbear.png,Objects_085_h.jpg,4
160,No-Think,Emotion,Non vivant,Org,977172,1,824,tortoise01.png,Objects_233_h.jpg,4
161,No-Think,Emotion,Non vivant,Org,981023,1,973,toad.png,Objects_138_h.jpg,4
162,Think,Emotion,Non vivant,NonOrg,984908,2,1036,balloon01b.png,Landscapes_004_h.jpg,5
163,Think,Neutral,Non vivant,Org,988726,2,1602,blackbear.png,Objects_085_h.jpg,5
164,Baseline,Emotion,Non vivant,Org,1016287,1,833,sheep.png,Black.jpg,5
165,No-Think,Neutral,Vivant,Org,1020005,1,918,beaver.png,People_155_h.jpg,5
166,No-Think,Neutral,Vivant,NonOrg,1023940,2,926,baseball01a.png,Faces_024_h.jpg,5
167,No-Think,Neutral,Non vivant,NonOrg,1027775,2,805,usbcable01b.png,Landscapes_048_h.jpg,5
168,Baseline,Neutral,Non vivant,NonOrg,1031293,2,526,banjo.png,Black.jpg,5
169,Baseline,Emotion,Vivant,Org,1037996,1,426,rockbass.png,Black.jpg,5
170,Baseline,Emotion,Vivant,NonOrg,1041380,2,704,beachpaddle01a.png,Black.jpg,5
171,No-Think,Neutral,Vivant,Org,1044832,1,829,caribou01.png,Faces_308_h.jpg,5
172,No-Think,Emotion,Non vivant,Org,1048733,1,855,toad.png,Objects_138_h.jpg,5
