,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
306,No-Think,Emotion,Vivant,Org,1562484,1,551,rockbass.png,People_240_h.jpg,8
307,Think,Emotion,Non vivant,NonOrg,1565702,2,585,scotchtape.png,Landscapes_007_h.jpg,8
308,No-Think,Emotion,Non vivant,NonOrg,1569086,2,438,scale01b.png,Objects_127_h.jpg,8
309,Baseline,Emotion,Non vivant,Org,1572171,1,447,squirrel.png,Black.jpg,8
310,Think,Emotion,Non vivant,NonOrg,1575555,2,1142,toaster02.png,Objects_151_h.jpg,8
311,No-Think,Neutral,Vivant,NonOrg,1579657,2,1076,bicycle.png,Faces_045_h.jpg,8
312,No-Think,Emotion,Vivant,NonOrg,1583608,2,594,antenna.png,People_216_h.jpg,8
313,Think,Emotion,Non vivant,Org,1587160,2,1014,tortoise01.png,Objects_233_h.jpg,8
314,No-Think,Neutral,Vivant,NonOrg,1591211,2,409,backfloat.png,People_109_h.jpg,8
315,Baseline,Emotion,Non vivant,NonOrg,1594313,2,504,aceofdiamond.png,Black.jpg,8
316,Baseline,Emotion,Vivant,Org,1597514,1,450,tiger02.png,Black.jpg,8
317,Baseline,Emotion,Vivant,NonOrg,1600982,2,423,toytractor01b.png,Black.jpg,8
318,No-Think,Neutral,Non vivant,Org,1604133,1,403,raccoon.png,Objects_169_h.jpg,8
319,Think,Emotion,Vivant,NonOrg,1607418,1,1126,airhockeypaddle01a.png,Animals_032_h.jpg,8
320,No-Think,Neutral,Vivant,Org,1611519,1,714,siamesecat.png,People_146_h.jpg,8
321,Think,Emotion,Vivant,Org,1615121,1,794,saintbernard.png,People_222_h.jpg,8
322,Think,Emotion,Non vivant,Org,1621957,2,818,toad.png,Objects_138_h.jpg,8
323,No-Think,Emotion,Non vivant,NonOrg,1631444,2,644,dice02a.png,Landscapes_025_h.jpg,8
324,Think,Neutral,Vivant,Org,1634828,1,1379,beaver.png,People_155_h.jpg,8
325,Think,Neutral,Non vivant,Org,1645983,2,1028,lion.png,Landscapes_038_h.jpg,8
326,Think,Emotion,Vivant,Org,1649684,1,1113,tern.png,People_198_h.jpg,8
327,Baseline,Neutral,Vivant,NonOrg,1653636,2,479,bib.png,Black.jpg,8
328,Baseline,Emotion,Non vivant,Org,1656920,1,729,cow.png,Black.jpg,8
329,No-Think,Neutral,Non vivant,Org,1663540,1,1036,killerwhale.png,Objects_214_h.jpg,8
330,No-Think,Emotion,Vivant,NonOrg,1667508,2,1475,beachpaddle01a.png,People_233_h.jpg,8
331,Think,Neutral,Non vivant,NonOrg,1671943,2,1502,usbcable01b.png,Landscapes_048_h.jpg,8
332,Think,Neutral,Non vivant,NonOrg,1676111,2,1795,bikehelmet.png,Landscapes_034_h.jpg,8
333,Baseline,Neutral,Non vivant,Org,1680930,1,443,blackbear.png,Black.jpg,8
