,Cond1,Cond2,Cond3,Cond4,Image.OnsetTime,Image.RESP,Image.RT,ImageCentre,ImageFond,ListImage.Cycle
104,No-Think,Emotion,Non vivant,Org,656355,2,2120,tortoise01.png,Objects_233_h.jpg,3
105,No-Think,Emotion,Non vivant,NonOrg,661223,2,1269,toaster02.png,Objects_151_h.jpg,3
106,No-Think,Neutral,Non vivant,Org,665391,2,1224,lion.png,Landscapes_038_h.jpg,3
107,Think,Neutral,Vivant,NonOrg,669393,1,2184,bib.png,Faces_044_h.jpg,3
108,No-Think,Neutral,Non vivant,NonOrg,674462,2,1531,bikehelmet.png,Landscapes_034_h.jpg,3
109,Think,Emotion,Vivant,Org,678730,1,1647,tiger02.png,People_202_h.jpg,3
110,No-Think,Neutral,Vivant,NonOrg,683048,2,1355,baseball01a.png,Faces_024_h.jpg,3
111,No-Think,Neutral,Vivant,NonOrg,687383,2,1804,amphora.png,People_105_h.jpg,3
112,Baseline,Neutral,Vivant,Org,692185,1,705,skunk.png,Black.jpg,3
113,No-Think,Neutral,Vivant,Org,695920,1,1112,caribou01.png,Faces_308_h.jpg,3
114,No-Think,Emotion,Non vivant,NonOrg,699788,2,759,scotchtape.png,Landscapes_007_h.jpg,3
115,No-Think,Emotion,Vivant,Org,703190,1,1032,saintbernard.png,People_222_h.jpg,3
116,Think,Emotion,Non vivant,NonOrg,707091,2,1074,balloon01b.png,Landscapes_004_h.jpg,3
117,Baseline,Neutral,Non vivant,Org,711026,1,715,killerwhale.png,Black.jpg,3
118,No-Think,Neutral,Non vivant,Org,714727,1,855,hen.png,Objects_082_h.jpg,3
119,Think,Neutral,Vivant,Org,718479,1,2469,kangaroo.png,People_138_h.jpg,3
120,No-Think,Emotion,Non vivant,Org,723898,1,1241,toad.png,Objects_138_h.jpg,3
121,Baseline,Emotion,Non vivant,NonOrg,728133,2,1625,dice02a.png,Black.jpg,3
122,No-Think,Neutral,Vivant,Org,732668,1,1096,beaver.png,People_155_h.jpg,3
123,Baseline,Emotion,Non vivant,NonOrg,736553,2,1234,scale01b.png,Black.jpg,3
124,Think,Emotion,Vivant,NonOrg,740437,1,2215,binoculars01b.png,Animals_045_h.jpg,3
125,Baseline,Emotion,Non vivant,Org,745523,1,774,swallow.png,Black.jpg,3
126,Baseline,Emotion,Vivant,Org,749141,1,1491,stuffedpuffin.png,Black.jpg,3
127,Think,Neutral,Non vivant,Org,753409,2,1672,dromedary.png,Landscapes_073_h.jpg,3
128,Baseline,Neutral,Non vivant,NonOrg,757728,2,1157,bandage.png,Black.jpg,3
129,Think,Emotion,Non vivant,Org,761912,2,2414,squirrel.png,Objects_157_h.jpg,3
130,Think,Neutral,Non vivant,NonOrg,767181,2,1157,armchair01.png,Objects_043_h.jpg,3
131,Baseline,Emotion,Vivant,NonOrg,777185,2,452,beachpaddle01a.png,Black.jpg,3
132,No-Think,Neutral,Vivant,NonOrg,780670,2,1761,baseball01a.png,Faces_024_h.jpg,4
133,No-Think,Emotion,Vivant,Org,785172,1,1678,tern.png,People_198_h.jpg,4
134,No-Think,Neutral,Non vivant,Org,789690,1,1340,hen.png,Objects_082_h.jpg,4
135,Baseline,Neutral,Non vivant,NonOrg,794025,2,1016,bandage.png,Black.jpg,4
136,No-Think,Emotion,Non vivant,NonOrg,797826,2,649,toaster02.png,Objects_151_h.jpg,4
137,Baseline,Neutral,Vivant,NonOrg,801211,2,498,bicycle.png,Black.jpg,4
138,Think,Neutral,Vivant,NonOrg,804546,1,976,bib.png,Faces_044_h.jpg,4
139,No-Think,Neutral,Non vivant,NonOrg,808464,2,1593,usbcable01b.png,Landscapes_048_h.jpg,4
140,Baseline,Emotion,Vivant,Org,813016,1,1984,rockbass.png,Black.jpg,4
141,Baseline,Neutral,Non vivant,NonOrg,818034,2,1462,banjo.png,Black.jpg,4
142,Think,Emotion,Vivant,NonOrg,822419,1,945,binoculars01b.png,Animals_045_h.jpg,4
143,Think,Emotion,Non vivant,Org,826038,1,924,cow.png,Landscapes_026_h.jpg,4
144,No-Think,Neutral,Vivant,Org,829672,1,1441,caribou01.png,Faces_308_h.jpg,4
145,Think,Emotion,Vivant,Org,834074,1,2052,tiger02.png,People_202_h.jpg,4
146,Think,Emotion,Vivant,Org,838809,1,1523,sturgeon.png,Faces_366_h.jpg,4
147,Baseline,Emotion,Vivant,NonOrg,843344,2,990,antenna.png,Black.jpg,4
148,Baseline,Emotion,Non vivant,Org,847329,1,835,swallow.png,Black.jpg,4
149,Think,Neutral,Non vivant,NonOrg,851164,2,532,armchair01.png,Objects_043_h.jpg,4
150,No-Think,Neutral,Vivant,Org,854665,1,1238,beaver.png,People_155_h.jpg,4
151,No-Think,Neutral,Non vivant,Org,858884,1,548,lion.png,Landscapes_038_h.jpg,4
152,Baseline,Emotion,Non vivant,NonOrg,862135,2,813,dice02a.png,Black.jpg,4
153,Think,Neutral,Non vivant,Org,865703,2,1415,dromedary.png,Landscapes_073_h.jpg,4
154,Baseline,Neutral,Vivant,Org,869855,1,1444,skunk.png,Black.jpg,4
155,Think,Emotion,Non vivant,NonOrg,874123,2,734,aceofdiamond.png,Objects_109_h.jpg,4
156,No-Think,Emotion,Non vivant,Org,877841,1,1521,toad.png,Objects_138_h.jpg,4
157,Baseline,Neutral,Vivant,Org,882093,1,985,siamesecat.png,Black.jpg,4
158,No-Think,Emotion,Non vivant,Org,886111,1,924,tortoise01.png,Objects_233_h.jpg,4
159,Think,Emotion,Vivant,NonOrg,889762,2,890,toytractor01b.png,People_129_h.jpg,4
160,Baseline,Emotion,Vivant,NonOrg,893430,2,2074,beachpaddle01a.png,Black.jpg,4
161,Baseline,Neutral,Non vivant,Org,898349,1,939,killerwhale.png,Black.jpg,4
162,No-Think,Neutral,Non vivant,NonOrg,902284,2,1600,bikehelmet.png,Landscapes_034_h.jpg,4
